epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,1574.26,0.81374,0.50218,0.83777,0.62871,0.27513,0.32127,0.24192,1.00945,1.01142,0.97433,0.000138611,0.000138611,0.000138611
82,1594.27,0.75578,0.44165,0.84889,0.62871,0.27513,0.32127,0.24192,1.00945,1.01142,0.97433,0.000133664,0.000133664,0.000133664
83,1614.49,0.82143,0.46876,0.84083,0.62871,0.27513,0.32127,0.24192,1.00945,1.01142,0.97433,0.000128552,0.000128552,0.000128552
84,1634.98,0.77491,0.46208,0.8398,0.63346,0.28571,0.3238,0.24942,0.99354,0.93318,0.96509,0.000123275,0.000123275,0.000123275
85,1655.14,0.68862,0.41136,0.83104,0.63346,0.28571,0.3238,0.24942,0.99354,0.93318,0.96509,0.000117833,0.000117833,0.000117833
86,1674.64,0.744,0.43871,0.84281,0.63346,0.28571,0.3238,0.24942,0.99354,0.93318,0.96509,0.000112226,0.000112226,0.000112226
87,1693.05,0.78268,0.45248,0.85658,0.63346,0.28571,0.3238,0.24942,0.99354,0.93318,0.96509,0.000106454,0.000106454,0.000106454
88,1711.78,0.76664,0.44109,0.83743,0.65362,0.2963,0.32559,0.2544,0.98222,0.86964,0.95757,0.000100517,0.000100517,0.000100517
89,1730.67,0.79916,0.47678,0.81874,0.65362,0.2963,0.32559,0.2544,0.98222,0.86964,0.95757,9.44156e-05,9.44156e-05,9.44156e-05
90,1749.54,0.73259,0.42901,0.84533,0.65362,0.2963,0.32559,0.2544,0.98222,0.86964,0.95757,8.81489e-05,8.81489e-05,8.81489e-05
91,1767.91,0.72861,0.43973,0.81799,0.65362,0.2963,0.32559,0.2544,0.98222,0.86964,0.95757,8.17173e-05,8.17173e-05,8.17173e-05
92,1786.3,0.80377,0.4948,0.83536,0.65449,0.30099,0.32706,0.25522,0.97411,0.84259,0.94879,7.51208e-05,7.51208e-05,7.51208e-05
93,1804.46,0.77731,0.47502,0.85315,0.65449,0.30099,0.32706,0.25522,0.97411,0.84259,0.94879,6.83593e-05,6.83593e-05,6.83593e-05
94,1822.39,0.7853,0.46983,0.81783,0.65449,0.30099,0.32706,0.25522,0.97411,0.84259,0.94879,6.14329e-05,6.14329e-05,6.14329e-05
95,1840.58,0.76064,0.4715,0.8196,0.65449,0.30099,0.32706,0.25522,0.97411,0.84259,0.94879,5.43416e-05,5.43416e-05,5.43416e-05
96,1858.9,0.73653,0.45898,0.82463,0.65478,0.29894,0.32704,0.27242,0.97444,0.84512,0.94278,4.70853e-05,4.70853e-05,4.70853e-05
97,1877.55,0.75866,0.42539,0.82631,0.65478,0.29894,0.32704,0.27242,0.97444,0.84512,0.94278,3.96641e-05,3.96641e-05,3.96641e-05
98,1895.99,0.7591,0.44862,0.81298,0.65478,0.29894,0.32704,0.27242,0.97444,0.84512,0.94278,3.2078e-05,3.2078e-05,3.2078e-05
99,1914.05,0.72323,0.42027,0.81493,0.65478,0.29894,0.32704,0.27242,0.97444,0.84512,0.94278,2.43269e-05,2.43269e-05,2.43269e-05
100,1932.14,0.77676,0.4778,0.81923,0.65609,0.30159,0.32798,0.25544,0.97425,0.84733,0.93994,1.64109e-05,1.64109e-05,1.64109e-05
